[Sun Feb 15 19:09:22 2009] [notice] ModJaxer/1.0.3.4547: Initialization.
127.0.0.1 - - [15/Feb/2009:19:10:33 -0800] "GET /aptana HTTP/1.1" 301 237
127.0.0.1 - - [15/Feb/2009:19:10:34 -0800] "GET /aptana/lib/prototype.js HTTP/1.1" 200 126132
127.0.0.1 - - [15/Feb/2009:19:10:34 -0800] "GET /aptana/lib/base_server.js HTTP/1.1" 200 1616
127.0.0.1 - - [15/Feb/2009:19:10:33 -0800] "GET /aptana/ HTTP/1.1" 200 3503
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 200 24311
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/styles.css HTTP/1.1" 200 6378
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/lib/prototype.js HTTP/1.1" 200 126132
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/lib/base_client.js HTTP/1.1" 200 2140
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/lib/livepipe.js HTTP/1.1" 200 9668
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/lib/control.window.js HTTP/1.1" 200 32902
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_page.png HTTP/1.1" 200 117
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/img_icon_upgrade.png HTTP/1.1" 200 1071
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_page_gradient.png HTTP/1.1" 200 226
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_leftcol_top.png HTTP/1.1" 200 13918
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/img_leftcol_feedback.png HTTP/1.1" 200 6304
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/built_with_aptana.gif HTTP/1.1" 200 1845
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_content_l.png HTTP/1.1" 200 126
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/img_logo.png HTTP/1.1" 200 22224
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_content_tl.png HTTP/1.1" 200 243
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/img_icon_samples.png HTTP/1.1" 200 924
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_leftcol_bottom.png HTTP/1.1" 200 3456
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_content_r.png HTTP/1.1" 200 181
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/img_icon_api.png HTTP/1.1" 200 728
